~iteration~,alpha,beta,base
0,0.1,40,0.5
50,0.1,40,0.5
100,0.1,40,0.5
150,0.1,40,0.5
173,0.1,40,0.5
223,0.1,40,0.5
273,0.1,40,0.5
323,0.1,40,0.5
346,0.1,40,0.5
396,0.1,40,0.5
446,0.1,40,0.5
496,0.1,40,0.5
519,0.1,40,0.5
569,0.1,40,0.5
619,0.1,40,0.5
669,0.1,40,0.5
692,0.1,40,0.5
742,0.1,40,0.5
792,0.1,40,0.5
842,0.1,40,0.5
865,0.1,40,0.5
915,0.1,40,0.5
965,0.1,40,0.5
1015,0.1,40,0.5
1038,0.1,40,0.5
1088,0.1,40,0.5
1138,0.1,40,0.5
1188,0.1,40,0.5
1211,0.1,40,0.5
1261,0.1,40,0.5
1311,0.1,40,0.5
1361,0.1,40,0.5
1384,0.1,40,0.5
1434,0.1,40,0.5
1484,0.1,40,0.5
1534,0.1,40,0.5
1557,0.1,40,0.5
1607,0.1,40,0.5
1657,0.1,40,0.5
1707,0.1,40,0.5
1730,0.1,40,0.5
1780,0.1,40,0.5
1830,0.1,40,0.5
1880,0.1,40,0.5
1903,0.1,40,0.5
1953,0.1,40,0.5
2003,0.1,40,0.5
2053,0.1,40,0.5
2076,0.1,40,0.5
2126,0.1,40,0.5
2176,0.1,40,0.5
2226,0.1,40,0.5
2249,0.1,40,0.5
2299,0.1,40,0.5
2349,0.1,40,0.5
2399,0.1,40,0.5
2422,0.1,40,0.5
2472,0.1,40,0.5
2522,0.1,40,0.5
2572,0.1,40,0.5
2595,0.1,40,0.5
2645,0.1,40,0.5
2695,0.1,40,0.5
2745,0.1,40,0.5
2768,0.1,40,0.5
2818,0.1,40,0.5
2868,0.1,40,0.5
2918,0.1,40,0.5
2941,0.1,40,0.5
2991,0.1,40,0.5
3041,0.1,40,0.5
3091,0.1,40,0.5
3114,0.1,40,0.5
3164,0.1,40,0.5
3214,0.1,40,0.5
3264,0.1,40,0.5
3287,0.1,40,0.5
3337,0.1,40,0.5
3387,0.1,40,0.5
3437,0.1,40,0.5
3460,0.1,40,0.5
3510,0.1,40,0.5
3560,0.1,40,0.5
3610,0.1,40,0.5
3633,0.1,40,0.5
3683,0.1,40,0.5
3733,0.1,40,0.5
3783,0.1,40,0.5
3806,0.1,40,0.5
3856,0.1,40,0.5
3906,0.1,40,0.5
3956,0.1,40,0.5
3979,0.1,40,0.5
4029,0.1,40,0.5
4079,0.1,40,0.5
4129,0.1,40,0.5
4152,0.1,40,0.5
4202,0.1,40,0.5
4252,0.1,40,0.5
4302,0.1,40,0.5
4325,0.1,40,0.5
4375,0.1,40,0.5
4425,0.1,40,0.5
4475,0.1,40,0.5
4498,0.1,40,0.5
4548,0.1,40,0.5
4598,0.1,40,0.5
4648,0.1,40,0.5
4671,0.1,40,0.5
4721,0.1,40,0.5
4771,0.1,40,0.5
4821,0.1,40,0.5
4844,0.1,40,0.5
4894,0.1,40,0.5
4944,0.1,40,0.5
4994,0.1,40,0.5
5017,0.1,40,0.5
5067,0.1,40,0.5
5117,0.1,40,0.5
5167,0.1,40,0.5
