~iteration~,low
0,0
50,0
100,0
150,0
173,0
223,0
273,0
323,0
346,0
396,0
446,0
496,0
519,0
569,0
619,0
669,0
692,0
742,0
792,0
842,0
865,0
915,0
965,0
1015,0
1038,0
1088,0
1138,0
1188,0
1211,0
1261,0
1311,0
1361,0
1384,0
1434,0
1484,0
1534,0
1557,0
1607,0
1657,0
1707,0
1730,0
1780,0
1830,0
1880,0
1903,0
1953,0
2003,0
2053,0
2076,0
2126,0
2176,0
2226,0
2249,0
2299,0
2349,0
2399,0
2422,0
2472,0
2522,0
2572,0
2595,0
2645,0
2695,0
2745,0
2768,0
2818,0
2868,0
2918,0
2941,0
2991,0
3041,0
3091,0
3114,0
3164,0
3214,0
3264,0
3287,0
3337,0
3387,0
3437,0
3460,0
3510,0
3560,0
3610,0
3633,0
3683,0
3733,0
3783,0
3806,0
3856,0
3906,0
3956,0
3979,0
4029,0
4079,0
4129,0
4152,0
4202,0
4252,0
4302,0
4325,0
4375,0
4425,0
4475,0
4498,0
4548,0
4598,0
4648,0
4671,0
4721,0
4771,0
4821,0
4844,0
4894,0
4944,0
4994,0
5017,0
5067,0
5117,0
5167,0
