~iteration~,lr
0,1e-05
50,1e-05
100,1e-05
150,1e-05
173,1e-05
223,1e-05
273,1e-05
323,1e-05
346,1e-05
396,1e-05
446,1e-05
496,1e-05
519,1e-05
569,1e-05
619,1e-05
669,1e-05
0,1e-05
50,1e-05
100,1e-05
150,1e-05
692,1e-05
742,1e-05
792,1e-05
842,1e-05
173,1e-05
223,1e-05
273,1e-05
323,1e-05
865,1e-05
915,1e-05
965,1e-05
1015,1e-05
346,1e-05
396,1e-05
446,1e-05
496,1e-05
1038,1e-05
1088,1e-05
1138,1e-05
1188,1e-05
519,1e-05
569,1e-05
619,1e-05
669,1e-05
1211,1e-05
1261,1e-05
1311,1e-05
1361,1e-05
692,1e-05
742,1e-05
792,1e-05
842,1e-05
1384,1e-05
1434,1e-05
1484,1e-05
1534,1e-05
865,1e-05
915,1e-05
965,1e-05
1015,1e-05
1557,1e-05
1607,1e-05
1657,1e-05
1707,1e-05
1038,1e-05
1088,1e-05
1138,1e-05
1188,1e-05
1730,1e-05
1780,1e-05
1830,1e-05
1880,1e-05
1211,1e-05
1261,1e-05
1311,1e-05
1361,1e-05
1903,1e-05
1953,1e-05
2003,1e-05
2053,1e-05
1384,1e-05
1434,1e-05
1484,1e-05
1534,1e-05
2076,1e-05
2126,1e-05
2176,1e-05
2226,1e-05
1557,1e-05
1607,1e-05
1657,1e-05
1707,1e-05
2249,1e-05
2299,1e-05
2349,1e-05
2399,1e-05
1730,1e-05
1780,1e-05
1830,1e-05
1880,1e-05
2422,1e-05
2472,1e-05
2522,1e-05
2572,1e-05
1903,1e-05
1953,1e-05
2003,1e-05
2053,1e-05
2595,1e-05
2645,1e-05
2695,1e-05
2745,1e-05
2076,1e-05
2126,1e-05
2176,1e-05
2226,1e-05
2768,1e-05
2818,1e-05
2868,1e-05
2918,1e-05
2249,1e-05
2299,1e-05
2349,1e-05
2399,1e-05
2941,1e-05
2991,1e-05
3041,1e-05
3091,1e-05
2422,1e-05
2472,1e-05
2522,1e-05
2572,1e-05
3114,1e-05
3164,1e-05
3214,1e-05
3264,1e-05
2595,1e-05
2645,1e-05
2695,1e-05
2745,1e-05
3287,1e-05
3337,1e-05
3387,1e-05
3437,1e-05
2768,1e-05
2818,1e-05
2868,1e-05
2918,1e-05
3460,1e-05
3510,1e-05
3560,1e-05
3610,1e-05
2941,1e-05
2991,1e-05
3041,1e-05
3091,1e-05
3633,1e-05
3683,1e-05
3733,1e-05
3783,1e-05
3114,1e-05
3164,1e-05
3214,1e-05
3264,1e-05
3806,1e-05
3856,1e-05
3906,1e-05
3956,1e-05
3287,1e-05
3337,1e-05
3387,1e-05
3437,1e-05
3979,1e-05
4029,1e-05
4079,1e-05
4129,1e-05
3460,1e-05
3510,1e-05
3560,1e-05
3610,1e-05
4152,1e-05
4202,1e-05
4252,1e-05
4302,1e-05
3633,1e-05
3683,1e-05
3733,1e-05
3783,1e-05
4325,1e-05
4375,1e-05
4425,1e-05
4475,1e-05
3806,1e-05
3856,1e-05
3906,1e-05
3956,1e-05
4498,1e-05
4548,1e-05
4598,1e-05
4648,1e-05
3979,1e-05
4029,1e-05
4079,1e-05
4129,1e-05
4671,1e-05
4721,1e-05
4771,1e-05
4821,1e-05
4152,1e-05
4202,1e-05
4252,1e-05
4302,1e-05
4844,1e-05
4894,1e-05
4944,1e-05
4994,1e-05
4325,1e-05
4375,1e-05
4425,1e-05
4475,1e-05
5017,1e-05
5067,1e-05
5117,1e-05
5167,1e-05
4498,1e-05
4548,1e-05
4598,1e-05
4648,1e-05
4671,1e-05
4721,1e-05
4771,1e-05
4821,1e-05
4844,1e-05
4894,1e-05
4944,1e-05
4994,1e-05
5017,1e-05
5067,1e-05
5117,1e-05
5167,1e-05
0,1e-05
50,1e-05
100,1e-05
150,1e-05
200,1e-05
250,1e-05
0,1e-05
50,1e-05
100,1e-05
150,1e-05
200,1e-05
250,1e-05
0,1e-05
50,1e-05
100,1e-05
150,1e-05
200,1e-05
250,1e-05
